target_words,substitutes,query_pos,original_sentences,corrected_sentences,tagged_sentences,proficiency_levels
habits,"['routines', 'customs', 'practices', 'rituals']",noun,Successful peoples are having an habits to achieve goals.,Successful people have habits to achieve goals. ,Successful people have **habits** to achieve goals.,low
interested,"['engrossed', 'intrigued', 'fascinated', 'captivated', 'absorbed']",adjective,that will make me more interested in art and also having more knowledge about art.,that will make me more interested in art and also give me more knowledge about art. ,That will make me more **interested** in art and also give me more knowledge about art.,low
at present,"['currently', 'presently', 'right now']",adverb,But at present by reading newspaper also we can drive car.,"But at present by reading newspapers, we can also drive a.car. ","But **at present** by reading newspapers, we can also drive a.car.",low
heart,"['core', 'essence', 'center', 'soul']",adjective,So advertisers have to attract the hart of the consumer first of all.,So advertisers have to attract the heart of the consumer first of all. ,So advertisers have to attract the **heart** of the consumer first of all.,low
unknown,"['unfamiliar', 'foreign', 'unexplored', 'undiscovered']",noun,and  if we a in a group there are very less change to get lost in the unknow place .,and if we are in a group there is very little change to get lost in the unknown place . ,And if we are in a group there is very little change to get lost in the **unknown** place.,low
damaged,"['harmed', 'impaired', 'marred', 'tarnished']",adjective,And it is still been damaged.,And it is still being damaged. ,And it is still being **damaged**.,low
Filling,"['Occupying', 'Utilization', 'Use']",verb,"This is the Filling of spare time, A man can only do on thing or job well but has lot of habbits.","This is the Filling of spare time, A man can only do one thing or job well but has a lot of habits. ","This is the **Filling** of spare time, A man can only do one thing or job well but has a lot of habits.",low
beautiful,"['magnificently', 'splendidly']",adverb,"Some people think that life is more beautiful when you get older, because they think that the elder people would be supposed to have experienced almost everything that a person ever could in her/his life.","Some people think that life is more beautiful when you get older, because they think that elderly people would be supposed to have experienced almost everything that a person ever could in her/his life. ","Some people think that life is more **beautiful** when you get older, because they think that elderly people would be supposed to have experienced almost everything that a person ever could in her/his life.",low
nationalities,"['ethnicities', 'races', 'cultures', 'backgrounds']",noun,I prefer to study many subject becase im going to creat my own futer and have many freinds from other nationalitys this is my propose in life .,I prefer to study many subjects because i am going to create my own future and have many friends from other nationalities this is my purpose in life . ,I prefer to study many subjects because I am going to create my own future and have many friends from other **nationalities** this is my purpose in life.,low
curious,"['strangely', 'interestingly']",adverb,There is curious topic that young generation have more fun in life.,There is a curious topic that the younger generation have more fun in life. ,There is a **curious** topic that the younger generation have more fun in life.,low
defy,"['challenge', 'confront', 'resist', 'face']",adverb,It is not a lay man quality to defy difficulties  and find solution for hard situation.,It is not a layman's quality to defy difficulties and find a solution to a hard situation. ,It is not a layman's quality to **defy** difficulties and find a solution to a hard situation.,low
limiting,"['curbing', 'constraining', 'inhibiting', 'restricting']",verb,"At the end I want say that don 't exist any person that became important limiting himself , but to become successful people  need courage and to take difficult choise to improve more and more.","Finally, I want to say that there is no person that becomes important limiting himself , but to become successful people need courage and to take difficult choices to improve more and more. ","Finally, I want to say that there is no person that becomes important **limiting** himself , but to become successful people need courage and to take difficult choices to improve more and more.",low
person,"['individual', 'character', 'figure', 'personality']",noun,"The most famous person who the flight advertised, the Reonardo Davinci.","The most famous person who the flight advertised, was Reonardo Davinci. ","The most famous **person** who the flight advertised, was Reonardo Davinci.",low
unique,"['distinct', 'exclusive', 'individual', 'peculiar']",adjective,That kind of unique thinking makes a person going to be different than others.,That kind of unique thinking makes a person go to be different than others. ,That kind of **unique** thinking makes a person go to be different than others.,low
example,"['instance', 'illustration', 'case']",adverb,"For example, when the students understand the ideas and concepts, that means they also can know the way to answer those question.","For example, when the students understand the ideas and concepts, that means they can also know the way to answer those questions. ","For **example**, when the students understand the ideas and concepts, that means they can also know the way to answer those questions.",low
Also,"['furthermore', 'moreover', 'additionally', 'besides']",adverb,"Also, the development of the technology will increase, and the people will go to the technology and they will not take care of the cars.","Also, the development of technology will increase, and people will go to the technology and they will not take care of the cars. ","**Also**, the development of technology will increase, and people will go to the technology and they will not take care of the cars.",low
rationally,"['logically', 'sensibly', 'practically']",adverb,"Because they have more experiences than younger people, and choose the rational way.","Because they have more experience than younger people, and choose the rational way. ","Because they have more experience than younger people, and choose the **rational** way.",low
operation,"['surgery', 'procedure', 'intervention']",adjective,so even though you take a surgery of your eyes it won't be any good.,so even though you have had an operation on your eyes it won't be any good. ,So even though you have had an **operation** on your eyes it won't be any good.,low
different,"['vary', 'diverge', 'contrast', 'distinct']",verb,But it was different from the house in the newspaper strongly.,But it was different from the house in the newspaper very much. ,But it was **different** from the house in the newspaper very much.,low
Finally,"['Ultimately', 'Eventually', 'Lastly', 'In the end']",adverb,Finally the young people need more and more appurtonity to helping their communities in developing process.,"Finally, young people need more and more opportunities to help their communities in the developing process. ","**Finally**, young people need more and more opportunities to help their communities in the developing process.",low
cleaner,"['detergent', 'disinfectant', 'purifier', 'cleansing']",adjective,"For example,  when my father  watched  a CM of clearner product on TV, advertisements said that it  could erase all of things such as, coffee or ink.","For example, when my father watched a CM of a cleaner product on TV, advertisements said that it could erase all things such as, coffee or ink. ","For example, when my father watched a CM of a **cleaner** product on TV, advertisements said that it could erase all things such as, coffee or ink.",low
food,"['grub', 'cuisine', 'provisions', 'meal']",noun,this food taste bed for,this food tastes great.,this **food** tastes great.,low
conclusion,"['ultimately', 'finally']",adverb,"In conclution, advertisers want to sell much more products.","In conclusion, advertisers want to sell many more products. ","In **conclusion**, advertisers want to sell many more products.",low
energy,"['vitality', 'vigor', 'enthusiasm']",noun,The energy in young people can influence in their enjoy,The energy in young people can influence their enjoyment.,The **energy** in young people can influence their enjoyment.,low
different,"['distinct', 'unique', 'unusual', 'exceptional']",adjective,and they wants to prove different from others,and they want to prove different from others,and they want to prove **different** from others.,low
activities,"['events', 'programs', 'projects', 'initiatives']",noun,"First, activeties held in schools give childeren a lot of time to engage in helping communities.","First, activities held in schools give children a lot of time to engage in helping communities. ","First, **activities** held in schools give children a lot of time to engage in helping communities.",low
hard,"['deeply', 'solidly', 'securely']",adverb,"If  communities's contact hard, robber cann't aim at this city.","If communities' contact is hard, robbers cann't aim at this city. ","If communities' contact is **hard**, robbers cann't aim at this city.",low
student,"['learner', 'scholar', 'pupil', 'attendee', 'undergraduate']",noun,but if the student has bad mark he maybe liked the class too.,but if the student has a bad mark he maybe liked the class too. ,but if the **student** has a bad mark he maybe liked the class too.,low
taken,"['attempted', 'embarked on', 'launched']",adverb,"Because if I taken the risk in a particular field then I may passed or I may fail, but if I have not try or not taken risk , then surely I wont pass.","Because if I take the risk in a particular field then I may pass or I may fail, but if I have not tried or not taken arisk , then surely I wo notpass. ","Because if I take the risk in a particular field then I may pass or I may fail, but if I have not tried or not **taken** a risk , then surely I will not pass.",low
expanding,"['growing', 'increasing', 'broadening.']",verb,"As the knowledge about science  is expanding, specialization is the result of this expanding.","As knowledge about science is expanding, specialization is the result of this expanding. ","As knowledge about science is **expanding**, specialization is the result of this expanding.",low
start,"['commence', 'initiate', 'begin', 'launch']",verb,"Third, most of successful people live in many plases before they  start to work in this case they make their live more easy.","Third, most successful people live in many places before they start to work in this case they make their lives easier. ","Third, most successful people live in many places before they **start** to work in this case they make their lives easier.",low
good,"['quality', 'excellent', 'outstanding', 'superior']",adjective,even though that the people were enjoying and they were take the good education also .the,even though the people were enjoying it and they were taking good education also . the,even though the people were enjoying it and they were taking **good** education also . the,low
First,"['Primarily', 'Initially', 'Foremost']",adverb,"First,  don't worry by not your understanging fot  study and understanding.","First, don't worry about not understanding your studies and understanding. ","**First**, don't worry about not understanding your studies and understanding.",low
elderly,"['aged', 'senior', 'older']",adjective,But the elder people would live with this fear.,But the elderly people would live with this fear. ,But the **elderly** people would live with this fear.,low
showing,"['displaying', 'presenting', 'revealing', 'demonstrating']",verb,itis depend how the product showing.,It depends on how the product is showing. ,It depends on how the product is **showing**.,low
life,"['existence', 'living', 'experience', 'journey']",noun,"When they enjoy the life, they found which is more important for them yet.","When they enjoy life, they find which is more important for them yet. ","When they enjoy **life**, they find which is more important for them yet.",low
very,"['extremely', 'quite', 'tremendously', 'vastly']",adverb,"As a result, the transportation is very important in our lives.","As a result, transportation is very important in our lives. ","As a result, transportation is **very** important in our lives.",low
pilots,"['drivers', 'operators', 'chauffeurs']",noun,"The car pilots cannot take risks, because also there this can lead to very negative effects and they would risk there own life, if they drive dangerously just to win a race and to be succesfull.","The car pilots cannot take risks, because also there can lead to very negative effects and they would risk their own life, if they drive dangerously just to win a race and to be successful. ","The car **pilots** cannot take risks, because also there can lead to very negative effects and they would risk their own life, if they drive dangerously just to win a race and to be successful.",low
find,"['discover', 'identify', 'uncover']",verb,"Because if they find a solution for unknow events,humans will be well day by day.","Because if they find a solution to unknown events,humans will be better day by day. ","Because if they **find** a solution to unknown events, humans will be better day by day.",low
to some extent,"['partly', 'partially', 'somewhat', 'in some respects']",adverb,"Second, if we talk about thinking then we can say it is bit similar with a nature part to some extent.","Second, if we talk about thinking then we can say it is a bit similar to a nature part to some extent. ","Second, if we talk about thinking then we can say it is a bit similar to a nature part **to some extent**.",low
activity,"['event', 'endeavor', 'program', 'initiative']",noun,90 % of schools in Japan hold at least one volunteer activeties in each year.,90 % of schools in Japan hold at least one volunteer activity each year. ,90 % of schools in Japan hold at least one **volunteer activity** each year.,low
professional,"['occupational', 'vocational', 'technical', 'advanced']",adjective,example taking a professional course in the understaning  of Computers is better than studying history or geography .I,For example taking a professional course in the understanding of computers is better than studying history or geography . I,"For example, taking a **professional** course in the understanding of computers is better than studying history or geography.",low
luggage,"['baggage', 'belongings', 'possessions', 'items']",noun,"Furtheremore, If people have a lot of luggage or something, they difficultly carry on the train or bus.","Furthermore, If people have a lot of luggage or something, they difficultly carry it on the train or bus. ","Furthermore, If people have a lot of **luggage** or something, they difficultly carry it on the train or bus.",low
customers,"['clients', 'consumers', 'buyers', 'users']",noun,they try to allure customer.,they try to allure customers. ,they try to allure **customers**.,low
affordable,"['cost-effective', 'economical', 'inexpensive', 'reasonable']",adjective,"There may be other reason which can be guessed of less car usage is ,if the cars are affordable to buy by the middle class families it may become a traffic problem as more public tend to buy the cars instead.","There may be other reasons which can be guessed,if the cars are affordable to buy by middle class families it may become a traffic problem as more people tend to buy the cars instead. ","There may be other reasons which can be guessed, if the cars are **affordable** to buy by middle class families it may become a traffic problem as more people tend to buy the cars instead.",low
nowadays,"['currently', 'presently', 'now', 'today']",adverb,"Some people other than me would judge me as inccorect and would assign that having general knowledge might improve my life more than that of a specialized one, but nowadays people tend to get specialized or would rather have a major than having onformation on various subhjects that might have a negative impulse towards how that individual is beeing taught.","Some people other than me would judge me as incorrect and would assign that having general knowledge might improve my life more than that of a specialized one, but nowadays people tend to get specialized or would rather have a major than having information on various subjects that might have a negative impulse towards how that individual is being taught. ","Some people other than me would judge me as incorrect and would assign that having general knowledge might improve my life more than that of a specialized one, but **nowadays** people tend to get specialized or would rather have a major than having information on various subjects that might have a negative impulse towards how that individual is being taught.",low
community,"['society', 'group', 'congregation', 'circle']",noun,but you should not be shy to join community.,but you should not be shy to join the community. ,but you should not be shy to join the **community**.,low
tells,"['declares', 'discloses', 'reveals', 'states']",verb,"I think that if company tell a truth on advertisement, the company can get aome advantages, the belifes of customer and can continue to manage for long time.","I think that if a company tells the truth in an advertisement, the company can get some advantages, the beliefs of the customer and can continue to manage for a long time. ","I think that if a company **tells** the truth in an advertisement, the company can get some advantages, the beliefs of the customer and can continue to manage for a long time.",low
subjects,"['topics', 'disciplines', 'fields', 'areas']",adjective,I agree with the statement because most of the the subjects you have to understnad ideas and to learn facts but some you gust need to understand the ideas of the subject.,I agree with the statement because most of the subjects you have to understand ideas and to learn facts but some of you might need to understand the ideas of the subject. ,I agree with the statement because most of the **subjects** you have to understand ideas and to learn facts but some of you might need to understand the ideas of the subject.,low
discovered,"['found', 'uncovered', 'detected']",verb,"SO, when I discover the game machine,I thought it had good perfermances.","SO, when I discovered the game machine,I thought it had good performance. ","SO, when I discovered the **game machine**,I thought it had good performance.",low
try,"['attempt', 'strive', 'experiment']",verb,Successful people try new things because if not they would not be successful persons they would be precise.,Successful people try new things because if not they would not be successful people they would be precise. ,Successful people **try** new things because if not they would not be successful people they would be precise.,low
activities,"['tasks', 'duties', 'functions']",noun,Every students identifiesour regular activites from learn facts.,All students identify their regular activities as learning facts. ,All students identify their **regular** activities as learning facts.,low
come,"['arrive', 'appear', 'emerge']",adverb,we leave like onday day will come,we leave like one day will come,we leave like one day will **come**,low
intelligent,"['smart', 'knowledgeable', 'intellectual']",noun,"In fact a intelligence person can speak with every person, intelligent or not, but a person with a limitated conoscence difficulty can have a relation with different person","In fact an intelligent person can speak with every person, intelligent or not, but a person with a limited conoscence difficulty can have a relationship with a different person","In fact an **intelligent** person can speak with every person, intelligent or not, but a person with a limited conoscence difficulty can have a relationship with a different person.",low
not,"['never', 'certainly not', 'definitely not', 'by no means']",adverb,"Because, if we can not have resourse, we can not use air controler.","Because, if we can not have a resourse, we can not use an air conditioner. ","Because, if we can **not** have a resource, we can not use an air conditioner.",low
find,"['discover', 'encounter', 'spot']",verb,When people find new thing by themself in a new city who feel very comfortable.,When people find new things by themselves in a new city they feel very comfortable. ,When people **find** new things by themselves in a new city they feel very comfortable.,low
example,"['instance', 'case', 'illustration']",adverb,"For example, two high schools in Korea had another curiculums.","For example, two high schools in Korea had another curriculum. ","For **example**, two high schools in Korea had another curriculum.",low
boredom,"['monotony', 'tedium', 'dullness']",adjective,"The people that follow what they only know, don't take chances and their lives torn  boaring without hope in the future, and this can be part of the consecuences in countries of the therd word do not proggres and during the time only follow what succesful people  such as countries ahead improve","The people that follow what they only know, don't take chances and their lives are torn by boredom without hope in the future, and this can be part of the consequences of countries' therd word do not progress and during the time only follow what successful people such as countries ahead improve","The people that follow what they only know, don't take chances and their lives are torn by **boredom** without hope in the future, and this can be part of the consequences of countries' therd word do not progress and during the time only follow what successful people such as countries ahead improve",low
academic,"['scholarly', 'intellectual', 'educational', 'informative']",adjective,"Because the person must study the many academic subjects, he would be adapted the society.","Because the person must study many academic subjects, he will adapt to society. ","Because the person must study many **academic** subjects, he will adapt to society.",low
have,"['exert', 'possess', 'hold', 'carry']",verb,and it wil effect on the nation.the future of the country or nation,and it will have an effect on the nation. the future of the country or nation,and it will **have** an effect on the nation. the future of the country or nation,low
great,"['appear', 'feature', 'present', 'display']",verb,The houses in the picuture  is great in newspaper.,The houses in the picture are great in the newspaper. ,The houses in the picture are **great** in the newspaper.,low
super,"['incredibly', 'particularly', 'immensely']",adjective,but i can tell i'm not suprer good at math,but i can tell i'm not super good at math,but i can tell i'm not **super** good at math.,low
certain,"['ensured', 'guaranteed', 'promised', 'destined']",verb,"fianlly ,  think the succeed is certain  affected by lucy and take a risk .it is called a  right time and a tight place .but","Finally, I think success is certain affected by luck and taking a risk . it is called a right time and a tight place . but","Finally, I think success is **certain** affected by luck and taking a risk . it is called a right time and a tight place . but",low
part-time,"['occasionally', 'intermittently', 'sporadically', 'infrequently']",adverb,"But after entering University, I started to work as a ppirt time, and finaly could go the gig.","But after entering University, I started to work part-time, and finally could go to the gig. ","But after entering University, I started to work **part-time**, and finally could go to the gig.",low
believe,"['accept', 'trust', 'rely on', 'embrace']",verb,But almost people believe and trust each other their own word and rumors.,But almost people believe and trust each other's own word and rumors. ,But almost people **believe** and trust each other's own word and rumors.,low
well,"['finely', 'excellently', 'superbly', 'perfectly']",adverb,those thigs  are well and ambition.,those things are well and ambition. ,Those things are **well** and ambition.,low
important,"['critical', 'essential', 'necessary', 'vital', 'crucial']",adjective,"knowledge is more important than work.knowledge improves ur skills,ability to do work.",knowledge is more important than work. knowledge improves your skills and ability to do work. ,**Knowledge** is more important than work. Knowledge improves your skills and ability to do work.,low
hearts,"['loyalties', 'affections', 'trust', 'attentions']",adjective,"To do so, they have to attract harts of consumer.","To do so, they have to attract hearts of consumers. ","To do so, they have to attract **hearts** of consumers.",low
listen,"['hear', 'attend', 'absorb', 'heed']",verb,"For instance, the theory that I only listen to at the science class is forgotten soon.","For instance, the theory that I only listen to in science class is soon forgotten. ","For instance, the theory that I only **listen** to in science class is soon forgotten.",low
Ninio Phenomena,"['Ninio Effects', 'Ninio Episodes', 'Ninio Events']",noun,"For example, the last problem in Bolivia with the Ninio Phenomena, the use of idea and concept help us to have options to solve the problem with this natural disaster the use of GIS help with identifying to areas with problems.","For example, the last problem in Bolivia with the Ninio Phenomena, the use of ideas and concepts helps us to have options to solve the problem with this natural disaster the use of GIS helps with identifying areas with problems. ","For example, the last problem in Bolivia with the **Ninio Phenomena**, the use of ideas and concepts helps us to have options to solve the problem with this natural disaster the use of GIS helps with identifying areas with problems.",low
inferior,"['substandard', 'second-rate', 'shoddy', 'poor-quality']",adjective,"If i bought inferior goods, I waste monney I earned.","If i bought inferior goods, I waste money I earned. ","If i bought **inferior** goods, I waste money I earned.",low
afraid,"['apprehensive', 'fearful', 'frightened', 'scared']",noun,If I was an afraid man my instinct could be involve me to put a brake in my activities and in all of aspects of my life.,If I was an afraid man my instinct could involve me in putting a brake on my activities and in all aspects of my life. ,If I was an **afraid** man my instinct could involve me in putting a brake on my activities and in all aspects of my life.,low
health,"['wellbeing', 'condition', 'fitness', 'wellness']",noun,The health is other factor to people enjoy.,The health is another factor that people enjoy. ,The **health** is another factor that people enjoy.,low
body,"['person', 'individual', 'assistant', 'helper']",adjective,"NO , HE WILL NEED SOME BODY TO HELP HIM FOR ALL THIS THINGS","NO , HE WILL NEED SOME BODY TO HELP HIM WITH ALL THESE THINGS","NO , HE WILL NEED SOME **BODY** TO HELP HIM WITH ALL THESE THINGS",low
resources,"['assets', 'materials', 'commodities', 'reserves']",noun,"First, recently we use a lot of natural resource.","First, recently we have used a lot of natural resources. ","First, recently we have used a lot of **natural resources**.",low
telephone,"['device', 'instrument', 'apparatus']",adjective,the telephone is discoverd by the grahambell,the telephone is discovered by the grahambell,The **telephone** is discovered by the Grahambell.,low
bring,"['deliver', 'yield', 'produce', 'generate']",adverb,I think that the studies have to bring this balance betwenn the general culture and the specialisation.,I think that the studies have to bring this balance between the general culture and the specialisation. ,I think that the studies have to **bring** this balance between the general culture and the specialization.,low
successful,"['prosperous', 'triumphant', 'victorious', 'accomplished', 'fruitful']",adjective,"Successful people try new things they do not afraid, sometimes they take risks.","Successful people try new things they are not afraid of, sometimes they take risks. ","**Successful** people try new things they are not afraid of, sometimes they take risks.",low
things,"['ventures', 'initiatives', 'projects']",noun,"If you want to be succesed,you must take risk in lots of new things,to find out which one is good which one is bad,find the good one to stand your work your bussiness,after that you will learn a lot from that experence,be stranger to face more things,that really makes you to be successful.","If you want to be successful,you must take risks in lots of new things,to find out which one is good and which one is bad,find the good one to stand your work your business,after that you will learn a lot from that experience,be stranger to face more things,that really makes you successful. ","If you want to be successful, you must take risks in lots of new **things**, to find out which one is good and which one is bad, find the good one to stand your work your business, after that you will learn a lot from that experience, be stranger to face more things, that really makes you successful.",low
concept,"['notion', 'idea', 'belief', 'principle']",noun,"As a result of thic concept , they can gain alot of money.","As a result of this concept , they can gain alot of money. ","As a result of this **concept**, they can gain a lot of money.",low
young man,"['youth', 'juvenile', 'adolescent', 'teenager']",noun,"When a young men grows helping other people, he will do the same thing during the adulthood.","When a young man grows up helping other people, he will do the same thing during adulthood. ","When a **young man** grows up helping other people, he will do the same thing during adulthood.",low
me,['I'],noun,My mon was very nevous that she can not find me.,My mom was very nervous that she could not find me. ,My mom was very nervous that she could not find **me**.,low
Moreover,"['Furthermore', 'Additionally', 'Besides', 'Also']",adverb,"Moreover, elder peeple would teach them their communities traditions.","Moreover, elderly people would teach them their community traditions. ","**Moreover**, elderly people would teach them their community traditions.",low
reading,"['perusing', 'devouring', 'delving into']",adverb,I do not like study history but read about history.,I do not like studying history but reading about history. ,I do not like studying history but **reading** about history.,low
same,"['identical', 'similar', 'equal', 'equivalent']",adjective,"However, it is not the same for alll the yields.","However, it is not the same for all the yields. ","However, it is not the **same** for all the yields.",low
communicating,"['interacting', 'corresponding', 'networking']",adverb,"However, I disagree that they use the Internet for making their interrest things for meeting and communicate long time to MSN and cellula phone.","However, I disagree that they use the Internet for making their interesting things for meetings and communicating for a long time via MSN and cell phones. ","However, I disagree that they use the Internet for making their interesting things for meetings and **communicating** for a long time via MSN and cell phones.",low
lack,"['shortage', 'scarcity', 'deficiency', 'absence']",adjective,So it cause to lack of oil to move.,So it causes a lack of oil to move. ,So it causes a **lack** of oil to move.,low
communities,"['societies', 'groups', 'populations', 'assemblies']",noun,If one is busy even if he wishes he will not be abel to help one.helping communuties not requires young people but,If one is busy even if he wishes he would not be able to help one. helping communties does not require young people but,If one is busy even if he wishes he would not be able to help one. Helping **communities** does not require young people but.,low
desired,"['preferred', 'chosen', 'favored']",adverb,Invetion and discovery are made by great  people in their desired field   .so,Invention and discovery are made by great people in their desired field . so,Invention and discovery are made by great people in their **desired** field. so,low
rather,"['preferably', 'instead', 'alternatively', 'ideally']",adverb,When they achived one particular goal they proceeding for new goal rather than doing what they already know.,When they achieve one particular goal they proceed with a new goal rather than doing what they already know. ,When they achieve one particular goal they proceed with a new goal **rather** than doing what they already know.,low
sales person,"['salesman', 'sales representative', 'merchandiser', 'retailer']",noun,"And then the saler had to ask me,""Are you looking for the eye content, we have some new arrivde.","And then the sales person had to ask me,""Are you looking for the eye content, we have some new. ","And then the **sales person** had to ask me,""Are you looking for the eye content, we have some new.",low
think,"['believe', 'consider', 'suppose', 'assume']",verb,I think Car is one of the most useful things.,I think the car is one of the most useful things. ,I **think** the car is one of the most useful things.,low
Travelling,"['Journeying', 'Trekking', 'Touring', 'Roaming']",noun,Travering definitely is not getting stress.,Travelling definitely is not getting stress. ,**Travelling** definitely is not getting stress.,low
professional,"['expert', 'efficient', 'skilled', 'specialized']",noun,"The big companies can use more  the advertisements to their products because they have a lot of money in their publitician  departaments, for example they use a especial event to put in  circulation some new drink because they need a lot of people to taste the new flavour and put new sesation in their fashionable new product.","The big companies can use more advertisements for their products because they have a lot of money in their professional departments, for example they use a special event to put in circulation some new drink because they need a lot of people to taste the new flavour and put new situations in their fashionable new product. ","The big companies can use more advertisements for their products because they have a lot of money in their **professional** departments, for example they use a special event to put in circulation some new drink because they need a lot of people to taste the new flavour and put new situations in their fashionable new product.",low
poem,"['verse', 'sonnet', 'ballad', 'rhyme']",noun,is good my poem was published.,It is good my poem was published. ,It is good my **poem** was published.,low
broad,"['extensive', 'comprehensive', 'wide-ranging', 'vast']",adjective,They might say that having broad knowledge of many academic subjects will enrich people's view.,They might say that having broad knowledge of many academic subjects will enrich people's views. ,They might say that having **broad** knowledge of many academic subjects will enrich people's views.,low
author,"['writer', 'creator', 'producer']",adjective,I can understand the author of the statement if we have only a look of the industrial states.,I can understand the author of the statement if we only have a look at the industrial states. ,I can understand the **author** of the statement if we only have a look at the industrial states.,low
factories,"['plants', 'industries', 'companies', 'establishments', 'enterprises']",noun,Because the factories travel in the specific sector of buisness.,Because the factories travel in the specific sector of business. ,Because the **factories** travel in the specific sector of business.,low
car,"['vehicle', 'automobile', 'auto']",noun,"but , car accident and car traffic is will be more  than there are today.","but , car accidents and car traffic will be more than there are today. ","but , **car** accidents and car traffic will be more than there are today.",low
makes,"['crafts', 'creates', 'produces', 'forms']",verb,"However, this society make a multiplayer.","However, this society makes a multiplayer. ","However, this society **makes** a multiplayer.",low
use,"['utilize', 'employ', 'apply', 'consume']",verb,"If we use that like this pace, we will have to use all natural resource in 20 years.","If we use that pace like this, we will have to use all natural resources in 20 years. ","If we **use** that pace like this, we will have to use all natural resources in 20 years.",low
willing,"['eager', 'ready', 'excited', 'prepared']",adverb,So most of young people are willing to handle and share enough duty to do it.,So most young people are willing to handle and share enough duty to do it. ,So most young people are **willing** to handle and share enough duty to do it.,low
cartoon,"['animation', 'caricature', 'sketch', 'illustration', 'drawing']",noun,They will not try to creative cartoon.,They will not try to create a creative cartoon. ,They will not try to create a **creative cartoon**.,low
influence,"['affect', 'impact', 'sway', 'shape']",verb,"Another thing is that the young people are more active and have more potinsules , so they can effored more than the older ones and they truly can rise their community by helping it and taking with it hand .","Another thing is that young people are more active and have more possibilities, so they can influence more than the older ones and they truly can raise their community by helping it and taking it with them. ","Another thing is that young people are more active and have more possibilities, so they can **influence** more than the older ones and they truly can raise their community by helping it and taking it with them.",low
familiar,"['accustomed', 'acquainted', 'versed']",adjective,this makes young people to be less familiar with their customs so they find other things to be familiar with.,this makes young people less familiar with their customs so they find other things to be familiar with. ,This makes young people less **familiar** with their customs so they find other things to be familiar with.,low
lazy,"['indolent', 'sluggish', 'lethargic', 'idling']",adjective,there are the lazy people who thinks that the luck exist.if you know all must know you can have  success in all a proverbs,there are lazy people who think that luck exists. if you know all you must know you can have success in all proverbs,there are **lazy** people who think that luck exists. if you know all you must know you can have success in all proverbs,low
very,"['incredibly', 'immensely', 'greatly', 'considerably']",adverb,But it was different from the house in the newspaper strongly.,But it was different from the house in the newspaper very much. ,But it was different from the house in the newspaper **very** much.,low
First,"['Initially', 'Primarily', 'Fundamentally']",adverb,"First of all, young people studying hard in university and treying to improve them selves by getting high marks and entering the best companies and get the best position in them works to improve them countries.","First of all, young people study hard at university and try to improve them selves by getting high marks and entering the best companies and getting the best position in their work to improve their countries. ","**First** of all, young people study hard at university and try to improve them selves by getting high marks and entering the best companies and getting the best position in their work to improve their countries.",low
