target_words,substitutes,query_pos,original_sentences,corrected_sentences,tagged_sentences
indicate,"['illustrate', 'denote', 'imply', 'point to', 'reveal', 'signal', 'demonstrate', 'point out']",VERB,"""


   The conversations seem to indicate a familiarity between
Tokhtakhounov and Anissina. Tass, the official Russian news agency,
reported that Anissina attended a ceremony in 1999 at a Paris hotel
honoring Tokhtakhounov for his philanthropy.","""


   The conversations seem to indicate a familiarity between
Tokhtakhounov and Anissina. Tass, the official Russian news agency,
reported that Anissina attended a ceremony in 1999 at a Paris hotel
honoring Tokhtakhounov for his philanthropy.","""


   The conversations seem to **indicate** a familiarity between
Tokhtakhounov and Anissina. Tass, the official Russian news agency,
reported that Anissina attended a ceremony in 1999 at a Paris hotel
honoring Tokhtakhounov for his philanthropy."
walking,"['move', 'travel on foot', 'stroll']",VERB,"I stood and turned toward the altar. The vampire was walking just steps ahead of me. I stepped up behind him and raised my hands, which almost seemed to be glowing.","I stood and turned toward the altar. The vampire was walking just steps ahead of me. I stepped up behind him and raised my hands, which almost seemed to be glowing.","I stood and turned toward the altar. The vampire was **walking** just steps ahead of me. I stepped up behind him and raised my hands, which almost seemed to be glowing."
chips,['computer chip'],NOUN,"But
industry analysts said the plant should be insulated from a falloff
in one or a few segments of the semiconductor market.


   (END OPTIONAL TRIM)


   The factory is highly automated and designed to shift flexibly
to produce many different kinds of chips to suit demand. ""The
diversity is the big difference with this plant,"" said Richard
Doherty, president of Envisioneering, a research firm.","But
industry analysts said the plant should be insulated from a falloff
in one or a few segments of the semiconductor market.


   (END OPTIONAL TRIM)


   The factory is highly automated and designed to shift flexibly
to produce many different kinds of chips to suit demand. ""The
diversity is the big difference with this plant,"" said Richard
Doherty, president of Envisioneering, a research firm.","But
industry analysts said the plant should be insulated from a falloff
in one or a few segments of the semiconductor market.


   (END OPTIONAL TRIM)


   The factory is highly automated and designed to shift flexibly
to produce many different kinds of **chips** to suit demand. ""The
diversity is the big difference with this plant,"" said Richard
Doherty, president of Envisioneering, a research firm."
logical,"['rational', 'justifiable', 'relevant', 'plausible', 'legit', 'valid']",ADJ,"Intending to ease consumer access to mental health care, New
Mexico legislators in March passed a law allowing psychologists to
prescribe psychotropic medications, such as antidepressants.
 
    The state's action, the first in the nation, has the blessing of
the American Psychological Association (APA), which considers
prescriptive authority a logical extension of psychologists' role
as health-care providers. But powerful groups, including the
American Medical Association, oppose the idea and have a surprising
source of support: psychologists themselves, some of whom call it a
radical experiment and fear that the most likely victim will be the
science of psychology.","Intending to ease consumer access to mental health care, New
Mexico legislators in March passed a law allowing psychologists to
prescribe psychotropic medications, such as antidepressants.
 
    The state's action, the first in the nation, has the blessing of
the American Psychological Association (APA), which considers
prescriptive authority a logical extension of psychologists' role
as health-care providers. But powerful groups, including the
American Medical Association, oppose the idea and have a surprising
source of support: psychologists themselves, some of whom call it a
radical experiment and fear that the most likely victim will be the
science of psychology.","Intending to ease consumer access to mental health care, New
Mexico legislators in March passed a law allowing psychologists to
prescribe psychotropic medications, such as antidepressants.
 
    The state's action, the first in the nation, has the blessing of
the American Psycho**logical** Association (APA), which considers
prescriptive authority a logical extension of psychologists' role
as health-care providers. But powerful groups, including the
American Medical Association, oppose the idea and have a surprising
source of support: psychologists themselves, some of whom call it a
radical experiment and fear that the most likely victim will be the
science of psychology."
salad,"['tossed salad', 'dish of vegetables']",NOUN,"Corn vichyssoise with caviar


   Julia's composed near-nicoise salad


   Atlantic halibut with flavored butters","Corn vichyssoise with caviar


   Julia's composed near-nicoise salad


   Atlantic halibut with flavored butters","Corn vichyssoise with caviar


   Julia's composed near-nicoise **salad**


   Atlantic halibut with flavored butters"
big,"['huge', 'substantial', 'hefty', 'massive', 'major', 'significant', 'large', 'immense', 'tremendous', 'great', 'considerable', 'big-time', 'enormous', 'gigantic', 'important', 'colossal', 'humongous', 'powerful']",ADJ,"T-shirts hanging on
the wall are inscribed with the scores of each of the Tigers' five
defeats.


   ""We see that crimson (from the Alabama loss) every day,"" tight
end Lorenzo Diamond said, ""and that's a big motivational factor
for us.


   ""But I think we've moved past last season.","T-shirts hanging on
the wall are inscribed with the scores of each of the Tigers' five
defeats.


   ""We see that crimson (from the Alabama loss) every day,"" tight
end Lorenzo Diamond said, ""and that's a big motivational factor
for us.


   ""But I think we've moved past last season.","T-shirts hanging on
the wall are inscribed with the scores of each of the Tigers' five
defeats.


   ""We see that crimson (from the Alabama loss) every day,"" tight
end Lorenzo Diamond said, ""and that's a **big** motivational factor
for us.


   ""But I think we've moved past last season."
past,"['around', 'beyond']",ADJ,"A bleeding, eyeless thing shuddered and beat its arms against me, but I ducked around it and toward the bar. I slipped past the waving monstrosity that had blocked my view before, a mountain of wet, veined flesh, and had almost passed through the crowd when a clawed hand grabbed my arm. 
            It was Dvorov.","A bleeding, eyeless thing shuddered and beat its arms against me, but I ducked around it and toward the bar. I slipped past the waving monstrosity that had blocked my view before, a mountain of wet, veined flesh, and had almost passed through the crowd when a clawed hand grabbed my arm. 
            It was Dvorov.","A bleeding, eyeless thing shuddered and beat its arms against me, but I ducked around it and toward the bar. I slipped **past** the waving monstrosity that had blocked my view before, a mountain of wet, veined flesh, and had almost passed through the crowd when a clawed hand grabbed my arm. 
            It was Dvorov."
very,"['incredibly', 'really', 'extremely', 'highly', 'truly', 'extraordinarily', 'greatly', 'exceedingly', 'deeply', 'awfully', 'to a high degree', 'so', 'wonderfully', 'certainly', 'pretty', 'considerably', 'absolutely']",ADV,"“Thanks. It’s very reassuring that I’ll not only be an outsider but a curiosity.”
            “Nathan, you told me five minutes ago that you would do anything to help Rachel.","“Thanks. It’s very reassuring that I’ll not only be an outsider but a curiosity.”
            “Nathan, you told me five minutes ago that you would do anything to help Rachel.","“Thanks. It’s **very** reassuring that I’ll not only be an outsider but a curiosity.”
            “Nathan, you told me five minutes ago that you would do anything to help Rachel."
forward,"['ahead', 'along']",ADV,"I walked around the car and got into the passenger seat. Before I had my belt on, we were rolling forward. “Okay,” I said.","I walked around the car and got into the passenger seat. Before I had my belt on, we were rolling forward. “Okay,” I said.","I walked around the car and got into the passenger seat. Before I had my belt on, we were rolling **forward**. “Okay,” I said."
calm,"['cool', 'settle', 'cool it', 'chill', 'quiet']",VERB,"Don’t forget, she’s your girlfriend. Now calm down while I talk to this gentleman. I can hear your heartbeat from over here.”","Don’t forget, she’s your girlfriend. Now calm down while I talk to this gentleman. I can hear your heartbeat from over here.”","Don’t forget, she’s your girlfriend. Now **calm** down while I talk to this gentleman. I can hear your heartbeat from over here.”"
see,"['meet', 'visit']",VERB,"From behind him, I could hear something that sounded like a remix of the Cure’s “A Forest”.
            “I’m here to see Isis. Tell her that Nepthys is here to see her.”","From behind him, I could hear something that sounded like a remix of the Cure’s “A Forest”.
            “I’m here to see Isis. Tell her that Nepthys is here to see her.”","From behind him, I could hear something that sounded like a remix of the Cure’s “A Forest”.
            “I’m here to **see** Isis. Tell her that Nepthys is here to see her.”"
proposed,['advocate'],VERB,"Comey said Tokhtakhounov had three residences in Italy: Forte dei
Marmi, Rome and Milan.


   The complaint against Tokhtakhounov's traces his contact with
figure skating to 2000, when he proposed to Gailhaguet the creation
of a professional hockey team in Paris that would provide revenue
for the French Skating Federation. ( Gailhaguet and Anissina are
not referred to by name in an accompanying FBI agent's affidavit,
but by their descriptions their identities are obvious.","Comey said Tokhtakhounov had three residences in Italy: Forte dei
Marmi, Rome and Milan.


   The complaint against Tokhtakhounov's traces his contact with
figure skating to 2000, when he proposed to Gailhaguet the creation
of a professional hockey team in Paris that would provide revenue
for the French Skating Federation. ( Gailhaguet and Anissina are
not referred to by name in an accompanying FBI agent's affidavit,
but by their descriptions their identities are obvious.","Comey said Tokhtakhounov had three residences in Italy: Forte dei
Marmi, Rome and Milan.


   The complaint against Tokhtakhounov's traces his contact with
figure skating to 2000, when he **proposed** to Gailhaguet the creation
of a professional hockey team in Paris that would provide revenue
for the French Skating Federation. ( Gailhaguet and Anissina are
not referred to by name in an accompanying FBI agent's affidavit,
but by their descriptions their identities are obvious."
discover,"['find out', 'determine', 'ascertain', 'identify', 'uncover', 'investigate', 'bring to light']",VERB,"I do not want to provide help to someone who would do harm.”
            “Sir, we simply want to discover whether this individual is, in fact, a vampire. If there is any boon that you would have us do in return, we would be glad to do it.”","I do not want to provide help to someone who would do harm.”
            “Sir, we simply want to discover whether this individual is, in fact, a vampire. If there is any boon that you would have us do in return, we would be glad to do it.”","I do not want to provide help to someone who would do harm.”
            “Sir, we simply want to **discover** whether this individual is, in fact, a vampire. If there is any boon that you would have us do in return, we would be glad to do it.”"
said,"['mention', 'claim', 'allege', 'state', 'express']",VERB,"The FBI cited a vivid conversation with Anissina's mother in
which Tokhtakhounov assured her that even if her daughter ""falls,
we will make sure she is No. 1.""


   After the Winter Olympics, a French judge, Marie-Reine Le
Gougne, was suspended by the International Skating Union for not
reporting pressure she said was put on her by Didier Gailhaguet,
president of the French Skating Federation, to vote for the Russian
pairs team.


   She later recanted and said that Canadian officials had
pressured her.","The FBI cited a vivid conversation with Anissina's mother in
which Tokhtakhounov assured her that even if her daughter ""falls,
we will make sure she is No. 1.""


   After the Winter Olympics, a French judge, Marie-Reine Le
Gougne, was suspended by the International Skating Union for not
reporting pressure she said was put on her by Didier Gailhaguet,
president of the French Skating Federation, to vote for the Russian
pairs team.


   She later recanted and said that Canadian officials had
pressured her.","The FBI cited a vivid conversation with Anissina's mother in
which Tokhtakhounov assured her that even if her daughter ""falls,
we will make sure she is No. 1.""


   After the Winter Olympics, a French judge, Marie-Reine Le
Gougne, was suspended by the International Skating Union for not
reporting pressure she **said** was put on her by Didier Gailhaguet,
president of the French Skating Federation, to vote for the Russian
pairs team.


   She later recanted and said that Canadian officials had
pressured her."
driving,"['moving', 'move', 'ride']",VERB,"That just unnerved me more. As we kept driving, the anxiety grew more pronounced. I noticed that there were some people on the street, people the same color as the soiled buildings.","That just unnerved me more. As we kept driving, the anxiety grew more pronounced. I noticed that there were some people on the street, people the same color as the soiled buildings.","That just unnerved me more. As we kept **driving**, the anxiety grew more pronounced. I noticed that there were some people on the street, people the same color as the soiled buildings."
thought,"['believe', 'imagine']",VERB,"The cold thing stretched and cast around with its sucker-mouth until it found the soft spot inside my elbow, where it softly sucked on and began to work its way under my skin. I thought that I could feel a slight itching.
            “They take about a quarter-pint each,” said Madame Entera, drawing out another skinny leech.","The cold thing stretched and cast around with its sucker-mouth until it found the soft spot inside my elbow, where it softly sucked on and began to work its way under my skin. I thought that I could feel a slight itching.
            “They take about a quarter-pint each,” said Madame Entera, drawing out another skinny leech.","The cold thing stretched and cast around with its sucker-mouth until it found the soft spot inside my elbow, where it softly sucked on and began to work its way under my skin. I **thought** that I could feel a slight itching.
            “They take about a quarter-pint each,” said Madame Entera, drawing out another skinny leech."
interesting,"['fascinating', 'appealing', 'compelling', 'riveting', 'engaging', 'intriguing', 'captivating', 'entertaining', 'alluring', 'enthralling']",ADJ,"“You’ve lost blood, boy? This story might be interesting. Does it have anything to do with why your head is shaved?”","“You’ve lost blood, boy? This story might be interesting. Does it have anything to do with why your head is shaved?”","“You’ve lost blood, boy? This story might be **interesting**. Does it have anything to do with why your head is shaved?”"
Let,"['permit', 'allow', 'allow me to']",VERB,"“All right, then. Let me see if I can find him.”
            Isis closed her eyes and lifted her hands.","“All right, then. Let me see if I can find him.”
            Isis closed her eyes and lifted her hands.","“All right, then. **Let** me see if I can find him.”
            Isis closed her eyes and lifted her hands."
problem,"['issue', 'trouble', 'deal']",NOUN,"“Yeah, one time, man, but you were pretty fucked up. What’s your problem, kid?”
            The hunchbacked man came up to my stomach.","“Yeah, one time, man, but you were pretty fucked up. What’s your problem, kid?”
            The hunchbacked man came up to my stomach.","“Yeah, one time, man, but you were pretty fucked up. What’s your **problem**, kid?”
            The hunchbacked man came up to my stomach."
starting,"['begin', 'commence']",VERB,"In Ochoa, 30, the Angels get an experienced major-league
outfielder
who is hitting .256 with six homers and 21 RBI this season. Ochoa
has
played in the majors for five different teams starting in 1995. His
best season came in 2000 with the Reds, when he hit .316 with 13
homers and 56 RBI.","In Ochoa, 30, the Angels get an experienced major-league
outfielder
who is hitting .256 with six homers and 21 RBI this season. Ochoa
has
played in the majors for five different teams starting in 1995. His
best season came in 2000 with the Reds, when he hit .316 with 13
homers and 56 RBI.","In Ochoa, 30, the Angels get an experienced major-league
outfielder
who is hitting .256 with six homers and 21 RBI this season. Ochoa
has
played in the majors for five different teams **starting** in 1995. His
best season came in 2000 with the Reds, when he hit .316 with 13
homers and 56 RBI."
business,"['operation', 'enterprise', 'affair', 'pursuit', 'venture', 'biz', 'industry']",NOUN,"""To play to
win in technology, you innovate and you lead,"" he said.


   But manufacturing technology products is a costly and cyclical
business. In June, IBM announced that it was taking a charge of
more than $2 billion against earnings.","""To play to
win in technology, you innovate and you lead,"" he said.


   But manufacturing technology products is a costly and cyclical
business. In June, IBM announced that it was taking a charge of
more than $2 billion against earnings.","""To play to
win in technology, you innovate and you lead,"" he said.


   But manufacturing technology products is a costly and cyclical
**business**. In June, IBM announced that it was taking a charge of
more than $2 billion against earnings."
monitored,"['under surveillance', 'observe', 'keep track of']",VERB,"Karnes hated to pry, and skimmed over personal
portions of the letters. Phone calls were monitored. An undercover
force of Manhattan Project security agents infiltrated the base and
bars in the little town of Wendover (population 103) to spy on
airmen.","Karnes hated to pry, and skimmed over personal
portions of the letters. Phone calls were monitored. An undercover
force of Manhattan Project security agents infiltrated the base and
bars in the little town of Wendover (population 103) to spy on
airmen.","Karnes hated to pry, and skimmed over personal
portions of the letters. Phone calls were **monitored**. An undercover
force of Manhattan Project security agents infiltrated the base and
bars in the little town of Wendover (population 103) to spy on
airmen."
very,"['really', 'particularly', 'much, really', 'terribly', 'quite', 'extraordinarily', 'too']",ADV,"“I …I noticed him from across the room when I was looking around for Rachel. He was standing right in front of some blue lights, so I couldn’t see him very well, but I noticed the way that the light set off his pale skin. It almost looked like the light bent around him without actually touching him directly.","“I …I noticed him from across the room when I was looking around for Rachel. He was standing right in front of some blue lights, so I couldn’t see him very well, but I noticed the way that the light set off his pale skin. It almost looked like the light bent around him without actually touching him directly.","“I …I noticed him from across the room when I was looking around for Rachel. He was standing right in front of some blue lights, so I couldn’t see him **very** well, but I noticed the way that the light set off his pale skin. It almost looked like the light bent around him without actually touching him directly."
want,"['wish', 'feel a need', 'yearn', 'have an urge for', 'desire']",VERB,"“Baby, let’s go. It’s been over a week, and I want to dance. Let’s go together, you know you’ll have fun once you get into it.”","“Baby, let’s go. It’s been over a week, and I want to dance. Let’s go together, you know you’ll have fun once you get into it.”","“Baby, let’s go. It’s been over a week, and I **want** to dance. Let’s go together, you know you’ll have fun once you get into it.”"
let,['allow'],VERB,"We haven't totally
forgotten about it, but we're looking forward to this upcoming
season. And to play well this season, we have to let last season
go.""


   Mirror image: Ole Miss coach David Cutcliffe said that tempo is
the only difference between quarterback Eli Manning and his brother
Peyton, who played for Cutcliffe at Tennessee.","We haven't totally
forgotten about it, but we're looking forward to this upcoming
season. And to play well this season, we have to let last season
go.""


   Mirror image: Ole Miss coach David Cutcliffe said that tempo is
the only difference between quarterback Eli Manning and his brother
Peyton, who played for Cutcliffe at Tennessee.","We haven't totally
forgotten about it, but we're looking forward to this upcoming
season. And to play well this season, we have to **let** last season
go.""


   Mirror image: Ole Miss coach David Cutcliffe said that tempo is
the only difference between quarterback Eli Manning and his brother
Peyton, who played for Cutcliffe at Tennessee."
look,"['stare at', 'gaze', 'stare']",VERB,"Now, can we get going?”
            I caught my breath and forced myself to look him in the eye. “Only if you stop beginning every sentence with my name.”","Now, can we get going?”
            I caught my breath and forced myself to look him in the eye. “Only if you stop beginning every sentence with my name.”","Now, can we get going?”
            I caught my breath and forced myself to **look** him in the eye. “Only if you stop beginning every sentence with my name.”"
simple,"['clear, understandable', 'plain', 'pure and simple', 'basic', 'straightforward', 'direct', 'uncomplicated']",ADJ,"“If the tree isn’t around, the dryad isn’t around. It’s as simple as that.”
            That made me a little sad.","“If the tree isn’t around, the dryad isn’t around. It’s as simple as that.”
            That made me a little sad.","“If the tree isn’t around, the dryad isn’t around. It’s as **simple** as that.”
            That made me a little sad."
pulse,"['beating', 'pulsation']",NOUN,"I heard the pulse already. We slammed against the doorway and I was laughing too, the pulse close enough to shake the doorframe and set up vibrations in my chest, Rachel in my arms because she’d used me to soften her landing. We kissed and slipped inside.","I heard the pulse already. We slammed against the doorway and I was laughing too, the pulse close enough to shake the doorframe and set up vibrations in my chest, Rachel in my arms because she’d used me to soften her landing. We kissed and slipped inside.","I heard the **pulse** already. We slammed against the doorway and I was laughing too, the pulse close enough to shake the doorframe and set up vibrations in my chest, Rachel in my arms because she’d used me to soften her landing. We kissed and slipped inside."
cloth,"['linen', 'fabric']",NOUN,"We kissed and slipped inside.
            The old vaulted church was stripped down: there was no cloth on the altar, just a DJ’s toolkit and his beer. Through the dark, I could see three bolts left in the wall from where they’d taken down the crucifix.","We kissed and slipped inside.
            The old vaulted church was stripped down: there was no cloth on the altar, just a DJ’s toolkit and his beer. Through the dark, I could see three bolts left in the wall from where they’d taken down the crucifix.","We kissed and slipped inside.
            The old vaulted church was stripped down: there was no **cloth** on the altar, just a DJ’s toolkit and his beer. Through the dark, I could see three bolts left in the wall from where they’d taken down the crucifix."
favorites,"['top pick', 'preference', 'beloved', 'front-runner', 'choice']",NOUN,"He added: ""Everything is going the way
you need it.""


   They also discussed the coming judging in ice dancing, in which
the French and the Italian teams were the favorites. The second
mobster said the French pair had ""only three judges,"" and of the
two judges they needed to win the gold medal ""one is ours, and the
other our friends will give them.""","He added: ""Everything is going the way
you need it.""


   They also discussed the coming judging in ice dancing, in which
the French and the Italian teams were the favorites. The second
mobster said the French pair had ""only three judges,"" and of the
two judges they needed to win the gold medal ""one is ours, and the
other our friends will give them.""","He added: ""Everything is going the way
you need it.""


   They also discussed the coming judging in ice dancing, in which
the French and the Italian teams were the **favorites**. The second
mobster said the French pair had ""only three judges,"" and of the
two judges they needed to win the gold medal ""one is ours, and the
other our friends will give them."""
